<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2047055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Vereine und Verbände, soziale Bewegungen | Soziale und politische Organisation und Praxis | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LB 47055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2058055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Rituale und Bräuche allgemein, Ritualtheorie | Rituale und Bräuche | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LB 58055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2059055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Rituale und Bräuche im Jahreszyklus | Rituale und Bräuche | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LB 59055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2060055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Rituale und Bräuche im Lebenszyklus | Rituale und Bräuche | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LB 60055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2062055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Feste, öffentliche Zeremonien | Rituale und Bräuche | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LB 62055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2067055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Bau- und Wohnformen | Raum und Ort: Hausforschung, Gemeinde- und Stadtethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LB 67055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2068055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Wirtschaftsgebäude und Industrieanlagen | Raum und Ort: Hausforschung, Gemeinde- und Stadtethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LB 68055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2069055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Sakralbauten und  Sakralanlagen | Raum und Ort: Hausforschung, Gemeinde- und Stadtethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LB 69055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2071055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Siedlungsformen und Siedlungsprozesse | Raum und Ort: Hausforschung, Gemeinde- und Stadtethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LB 71055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2072055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Einzelne Dörfer, Gemeinden und Städte | Raum und Ort: Hausforschung, Gemeinde- und Stadtethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LB 72055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2073055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Stadtforschung | Raum und Ort: Hausforschung, Gemeinde- und Stadtethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LB 73055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2074055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Region und Landschaft; Grenzgebiet und Frontier | Raum und Ort: Hausforschung, Gemeinde- und Stadtethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LB 74055
