uri,notation,label_german
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2059055,LB 59055,Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Rituale und Bräuche im Jahreszyklus | Rituale und Bräuche | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2060055,LB 60055,Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Rituale und Bräuche im Lebenszyklus | Rituale und Bräuche | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2062055,LB 62055,"Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Feste, öffentliche Zeremonien | Rituale und Bräuche | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2067055,LB 67055,"Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Bau- und Wohnformen | Raum und Ort: Hausforschung, Gemeinde- und Stadtethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2068055,LB 68055,"Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Wirtschaftsgebäude und Industrieanlagen | Raum und Ort: Hausforschung, Gemeinde- und Stadtethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2069055,LB 69055,"Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Sakralbauten und  Sakralanlagen | Raum und Ort: Hausforschung, Gemeinde- und Stadtethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2071055,LB 71055,"Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Siedlungsformen und Siedlungsprozesse | Raum und Ort: Hausforschung, Gemeinde- und Stadtethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2072055,LB 72055,"Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Einzelne Dörfer, Gemeinden und Städte | Raum und Ort: Hausforschung, Gemeinde- und Stadtethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2073055,LB 73055,"Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Stadtforschung | Raum und Ort: Hausforschung, Gemeinde- und Stadtethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2074055,LB 74055,"Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Region und Landschaft; Grenzgebiet und Frontier | Raum und Ort: Hausforschung, Gemeinde- und Stadtethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2088055,LB 88055,Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Keramische Techniken | Produktion und Herstellungsverfahren | Materielle Kultur und Wirtschaftsethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2094055,LB 94055,Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Textile Techniken | Produktion und Herstellungsverfahren | Materielle Kultur und Wirtschaftsethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2097055,LB 97055,Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Wirtschaftsgeräte | Geräte und Maschinen | Produktion und Herstellungsverfahren | Materielle Kultur und Wirtschaftsethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2010055,LC 10055,"Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Allgemeines, Theoretisches, Zusammenfassendes | Materielle Kultur und Konsum | Materielle Kultur und Wirtschaftsethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2011055,LC 11055,"Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Hausrat, Möbel | Materielle Kultur und Konsum | Materielle Kultur und Wirtschaftsethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2012055,LC 12055,"Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Kleidung, Tracht, Mode | Materielle Kultur und Konsum | Materielle Kultur und Wirtschaftsethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2017055,LC 17055,"Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Nahrung, Nahrungszubereitung, Ess- und Trinkgewohnheiten | Materielle Kultur und Konsum | Materielle Kultur und Wirtschaftsethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2029055,LC 29055,Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Religiöse Praktiken und Vorstellungen - Einzelstudien | Religionsethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2031055,LC 31055,Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Totenrituale und Jenseitsvorstellungen | Religionsethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2039055,LC 39055,"Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Christliche Objekte, Objekte der Volksfrömmigkeit | Religionsethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen"
